round,alive_nodes,round_energy
1,100,0.024838055591806928
2,100,0.025248141897129373
3,100,0.025362251556400574
4,100,0.02523458620955279
5,100,0.02514685865966984
6,100,0.02561951581424739
7,100,0.025869526933865475
8,100,0.025965102107761834
9,100,0.02462964447184254
10,100,0.02520597356296456
11,100,0.02518932017045985
12,100,0.025434102531080725
13,100,0.024812504710873387
14,100,0.025326336504756075
15,100,0.024681580086487777
16,100,0.02506756045600917
17,100,0.024790192573725847
18,100,0.025736600471277137
19,100,0.02568826875917496
20,100,0.02548439432912131
21,100,0.02503591926266266
22,100,0.025190193495181767
23,100,0.02499169246649674
24,100,0.025409990271694053
25,100,0.025423952116336936
26,100,0.025532907370485948
27,100,0.025185241548113815
28,100,0.025224022381286803
29,100,0.025182475852136208
30,100,0.025836600523225405
31,100,0.02519430598951621
32,100,0.025174559310696648
33,100,0.025129684507436953
34,100,0.025384245167462193
35,100,0.025833200661092195
36,100,0.025005945694961194
37,100,0.02466930924601269
38,100,0.02612985620084355
39,100,0.02532812543041543
40,100,0.025298983794774826
41,100,0.02542810591447807
42,100,0.02489460654765513
43,100,0.02585148158509816
44,100,0.025386910642431027
45,100,0.025441114488147683
46,100,0.02545140755715164
47,100,0.02535788110600196
48,100,0.025501107156656745
49,100,0.025547114699684164
50,100,0.025491471500443577
51,100,0.02555166087278866
52,100,0.02536941850268627
53,100,0.0250533972753084
54,100,0.025217631683427617
55,100,0.025128267185164015
56,100,0.025743763396451295
57,100,0.025358556378070482
58,100,0.02591932786017017
59,100,0.025428196356040902
60,100,0.025310974493924783
61,100,0.025194673360762088
62,100,0.0252938613981699
63,100,0.025082051943441066
64,100,0.025437727735026193
65,100,0.025300102204685534
66,100,0.02551781088214477
67,100,0.025604144588464356
68,100,0.02553827001602818
69,100,0.025361343823795533
70,100,0.02531495430185783
71,100,0.025254161573385506
72,100,0.0250798596460174
73,100,0.025821084321522476
74,100,0.025193068472086026
75,100,0.025045786298781354
76,100,0.025360925402871593
77,100,0.02538004904364843
78,100,0.025508865904290526
79,100,0.02526993508312352
80,100,0.02501337337135684
81,100,0.024976119506694684
82,100,0.025822176578432096
83,100,0.02501372283300493
84,100,0.024946372358891942
85,100,0.025779459772109783
86,100,0.025695349194679924
87,100,0.025540505197001857
88,100,0.025160592590616277
89,100,0.02529637957895404
90,100,0.02501301650995786
91,100,0.025137059474774254
92,100,0.025369969257196593
93,100,0.025807561968697858
94,100,0.025575734001042877
95,100,0.024753613382515954
96,100,0.025119681446438696
97,100,0.025944909033120446
98,100,0.026137774773743603
99,100,0.025048020760495202
100,100,0.02556336679357378
101,100,0.025628763690634975
102,100,0.025140131750102136
103,100,0.025012869552291254
104,100,0.02556610908937257
105,100,0.025319522674824898
106,100,0.0256121561878681
107,100,0.025696233896790547
108,100,0.025443842849135437
109,100,0.025487174172697764
110,100,0.025383749104555153
111,100,0.025655978373231757
112,100,0.025371903903699033
113,100,0.025528056877732703
114,100,0.02567991285251965
115,100,0.025477616440426617
116,100,0.025222953242431508
117,100,0.02522669282219095
118,100,0.025218778100180674
119,100,0.02514175679546925
120,100,0.025498638237457197
121,100,0.025065909790817173
122,100,0.025899946541211444
123,100,0.025066087354097804
124,100,0.02555051651661951
125,100,0.02503376521845867
126,100,0.025086070347777083
127,100,0.025262794101288042
128,100,0.025001278537955033
129,100,0.025186281194402894
130,100,0.025156041525363756
131,100,0.02554174419401038
132,100,0.025278966567328903
133,100,0.02559490985584876
134,100,0.02567802746569914
135,100,0.025673867904985024
136,100,0.025448034838124668
137,100,0.025335449827222946
138,100,0.024974236297490307
139,100,0.025275233908699613
140,100,0.025228523706747084
141,100,0.02505732960422382
142,100,0.024889360982770364
143,100,0.02518185636385549
144,100,0.025508693840383765
145,100,0.025132632494849778
146,100,0.02524333360224009
147,100,0.02522248634326004
148,100,0.025945863597280776
149,100,0.025684390907051893
150,100,0.024677143362567742
151,100,0.025048116525158017
152,100,0.025313766894737983
153,100,0.025756025924260618
154,100,0.025947819289481155
155,100,0.025602422131280264
156,100,0.025859245819638485
157,100,0.024726162640118933
158,100,0.02566738255313675
159,100,0.025858863920052128
160,100,0.02584114601159309
161,100,0.02485123278499626
162,100,0.025069071958076953
163,100,0.025208258296986277
164,100,0.02525805432884652
165,100,0.024622246330781968
166,100,0.025801450442342774
167,100,0.02518710563891248
168,100,0.02550627124303337
169,100,0.025483577925020307
170,100,0.025388688344413272
171,100,0.024945154019822554
172,100,0.02499455522098156
173,100,0.025385012689582143
174,100,0.02616806401901648
175,100,0.025389035537971495
176,100,0.025553579938500548
177,100,0.025323556743373905
178,100,0.02513960988055574
179,100,0.025226705215638377
180,100,0.025407228264761113
181,100,0.02510477957936579
182,100,0.02566380039627978
183,100,0.02543329362072906
184,100,0.025298157169439613
185,100,0.0254621461128812
186,100,0.025658630122269713
187,100,0.025268675949585758
188,100,0.025922646532584477
189,100,0.024538874354755436
190,100,0.025579339501455193
191,100,0.02568133531588534
192,100,0.02528047170733136
193,100,0.025455762806336813
194,100,0.025628821403591
195,100,0.02542250410033404
196,100,0.02514368235680702
197,100,0.02532932897122805
198,100,0.02573562508064236
199,100,0.0254287165807545
200,100,0.025150057141576032
201,100,0.025048937837016977
202,100,0.025363961784549156
203,100,0.02568682814126792
204,100,0.025660246528228264
205,100,0.025307050751897726
206,100,0.02502709786718053
207,100,0.025325845183589938
208,100,0.025351089925954404
209,100,0.025712513987604192
210,100,0.025772077028867513
211,100,0.024944750896183768
212,100,0.025773528492803094
213,100,0.02553985757248274
214,100,0.024818543094269334
215,100,0.025641512755354277
216,100,0.0260319170878981
217,100,0.02508668219393746
218,100,0.025471480628049572
219,100,0.02549687479868378
220,100,0.025011964548246304
221,100,0.025323891613301244
222,100,0.025723892930309293
223,100,0.02508405468790828
224,100,0.025329698497876266
225,100,0.025054336175030365
226,100,0.0253781433439257
227,100,0.02587250580368747
228,100,0.025219482365201384
229,100,0.024948410115068185
230,100,0.02504877368180608
231,100,0.02524893264039911
232,100,0.025223554013360603
233,100,0.024899953806380704
234,100,0.02569454818750005
235,100,0.02502692376619747
236,100,0.02543459533633493
237,100,0.02551990677349059
238,100,0.025731823959033673
239,100,0.0257296846506195
240,100,0.025912009092263794
241,100,0.025528934682173904
242,100,0.025037567906124675
243,100,0.02580459485866611
244,100,0.02509603475682138
245,100,0.025504661687436675
246,100,0.024903029230826705
247,100,0.025338931737619697
248,100,0.025211037884667803
249,100,0.024875391328263535
250,100,0.025825935375366142
251,100,0.02557924796331845
252,100,0.025227320445182284
253,100,0.025268919324422753
254,100,0.025612412573853677
255,100,0.02552542185473095
256,100,0.02545841799566367
257,100,0.025348999509356034
258,100,0.02497032755836342
259,100,0.025205154207221695
260,100,0.025019539696506384
261,100,0.025178719853933634
262,100,0.025432963568294005
263,100,0.024750162739003302
264,100,0.025411558047664522
265,100,0.025682300994015132
266,100,0.02513443233188504
267,100,0.025251512658656654
268,100,0.025191790192003436
